Area,School,level,physical_address,ECD_Enrollment_Boys_and_Girls,Primary_Enrollment_Boys,Primary_Enrollment_Girls,ECD_Classes_Offered,Primary_Classes_Offered,Teachers_assigned,,,,,
Ovia Swest,OZOLUA P/S ORASILUKO,PE,ORA TOWN,74,83,75,3,6,7,,,,,
IKPOBA OKHA,OZOLUA PRIMARY SCHOOL,PE,"OFF SAPELE ROAD, BY PASS",17,62,60,3,6,9,,,,,
owan west,Ozalla P/S Ozalla,PE,Igbidin Along Iruekpenid,77,58,65,3,6,7,,,,,
ORHIONMWON,OZA P/S OZA,PE,EVBUOBANOSA IGBANKE RD OZA,0,61,46,3,6,9,,,,,
Oredo,OZA SCHOOL Spec,PE,"FIRST AFRICA CHURCH LANE, OFF IGBESANMWAN STREET, BENIN CITY",39,76,80,3,6,3,,,,,
Akoko Edo,OYONBA P/S OJAH,PE,"C/O LAMPESE MAIN MARKET, ABUJA EX. WAY, LAMPESE",161,205,260,3,6,3,,,,,
Akoko Edo,OYOBUNI P/S OKPE,PE,"IYASUE QTRS, OYOBUNOKPE",32,107,117,3,6,9,,,,,
Akoko Edo,OYENGBA P/S EKPESA,PE,INSIDE EKPESA TOWN,100,228,217,3,6,7,,,,,
Etsako West,OYAGHA P/S UZAIRUE,PE,ALONG OGENEN RD IKPE ,205,208,199,3,6,3,,,,,
Ovia Neast,OWUNO P\S OVBIOWUN,PE,Owuno P\S Along Otuo Road,91,234,201,3,6,9,,,,,
owan east,OWUNO Spec School,PE,Owuno P\S Along Otuo Road,91,234,201,3,6,3,,,,,
ESAN SEAST,OWU P/S EWOHIMI,P,OWU P/S EWOHIMI,50,114,99,3,6,9,,,,,
Oredo,OWINA PRIMARY SCHOOL,PE,"UZEBU QUARTERS, BENIN CITY",58,169,171,3,6,8,,,,,
ORHIONMWON,OWIE P/S EVBOWIE,PE,ALONG BENIN ABRAKA RD,89,138,124,3,6,3,,,,,
owan west,Owere C/S Uhonmora,PE,Along Uhonmora/Eme rd,120,162,170,3,6,4,,,,,
UHUNMWODE,OWEGIE P/S ORIOR,P,BOUNDARY ROAD ORIOR,0,247,204,3,6,4,,,,,
Oredo,OWEGIE PRIMARY SCHOOL,PE,"OWINA STREET, OFF EKEHUAN ROAD, BENIN CITY",116,482,446,3,6,5,,,,,
owan west,Owato P/S Oke New,PE,Oke/ Uzebba rd oke new,83,99,85,3,6,9,,,,,
owan west,Owato P/S Oke Old,PE,Along Afuze rd Oke Old,55,171,171,3,6,6,,,,,
owan west,Owara P/S Ikhuse ,PE,Along Uzebba Eruere rd,0,54,62,3,6,8,,,,,
Ovia Swest,OVONRAMWEN P/S IGUAFOLE,PE,IGUAFOLE VILLAGE,48,139,136,3,6,4,,,,,
Oredo,OVONRAMWEN PRIMARY SCHOOL,PE,"FORESTRY ROAD, BENIN CITY",28,74,83,3,6,9,,,,,
UHUNMWODE,OVIAWE P/S OKHUOKHUO,P,OKHUOKHUOISI,0,81,89,3,6,4,,,,,
Ovia Swest,OVIA P/S UGBO,P,UGBO VILLAGE,0,62,65,3,6,6,,,,,
Oredo,OVBO PRIMARY SCHOOL,PE,URHEGHIN VILLAGE TO OKUA,0,15,11,3,6,4,,,,,
Ovia Neast,OTUAJABOR P\S IHIEVBE,,OTUAJABOR P\S IHIEVBE,38,72,83,3,6,9,,,,,
owan east,OTUAJABOR Alt,,OTUAJABOR P\S IHIEVBE,38,72,83,3,6,3,,,,,
ORHIONMWON,OTTAH P/S OTTAHIGBANKE ,PE,BEHIND ENOGIE PALACE OTTAH IGBANKE,25,89,73,3,6,9,,,,,
ESAN SEAST,OTOKHIMI PRI. SCH. UGBOHA,P,OTOKHIMI PRI. SCH. UGBOHA,77,74,84,3,6,9,,,,,
ORHIONMWON,OTOBAIYE P/S OTOBAIYE,PE,OTOBAIYE P/S OTOBAIYE NEDE,29,74,59,3,6,3,,,,,
Etsako West,OTARU P/S AUCHI,PE,EGBEADOKHAI ST. AUCHI,192,250,243,3,6,3,,,,,
Egor,OSUNDE,PE,UWELU VILLAGE,188,515,456,3,6,9,,,,,
UHUNMWODE,OSULA P/S IGBOGIRI,PE,IGBOGIRI,205,198,199,3,6,9,,,,,
Akoko Edo,OSU P/S UNEME OSU,PE,"ALOWE OSOSO RD, UNEME OSU",22,64,96,3,6,4,,,,,
Ovia Swest,OSSE RIVER P/S NEWLANDUDO,PE,NEWLAND UDO,32,154,121,3,6,8,,,,,
Akoko Edo,OSOSO P/S OSOSO,,"INSIDE THE TOWN, OSOSO",75,263,250,3,6,5,,,,,
Akoko Edo,OSI P/S AIYEGUNLE,PE,"UKOLOGUA QTRS, ESHAWA IMEI ROAD, AIYEGUNLE",138,220,180,3,6,3,,,,,
Etsako West,OSHIOZEKHAI P/S IYAKPI,PE,ALONG OLD BODE RD IYAKPI ,214,277,289,3,6,9,,,,,
owan west,Oseze P/S Eruere,PE,Behind Anglican Church,131,129,135,3,6,9,,,,,
Etsako Cent,OSESIAMHE P/S UDOCHI,P,OSESIAMHE PRY SCH UDOCHI,0,253,258,3,6,9,,,,,
IKPOBA OKHA,OSEMWENDE PRIMARY SCHOOL,PE,"OBAGUE VILLAGE, OFF ABRAKA ROAD",13,24,38,3,6,3,,,,,
